numero,cor,servico,cliente,responsavel,data,cidade,m2Aprox,4mm,3mm
606.40,vermelho,revestimento,i move line,,24/08/2016,balneario,0.00,16001.51,0.00
606.40,bege,revestimento,i move line,,24/08/2016,balneario,0.00,39731.56,0.00
610.00,branco,revestimento,Edificio ciaplan empresarial,,16/09/2015,balneario,0.00,16500.00,15125.00
637.00,azul marinho,revestimento,Ryberg Arquitetura,jennifer ryberg,42228,balneario,0.00,5812.00,4810.00
641.00,,revestimento,Paulo Carelli,Ed Number One,18/01/2016,balneario,2527.50,973087.50,0.00
654.50,,revestimento,Construtora Arrka,Sunplace,42678,balneario,0.00,39956.50,0.00
655.00,,revestimento,Arq. Analu,,42373,balneario,0.00,15983.67,0.00
712.00,,revestimento,Edificio Dona Rosinha,"Karine, Miriam, Luiz",22/01/2018,balneario,90.00,27450.00,0.00
712.30,,revestimento,Edificio Dona Rosinha,"Karine, Miriam, Luiz",22/01/2018,balneario,432.00,131760.00,0.00
712.40,,revestimento,Edificio Dona Rosinha,"Karine, Miriam, Luiz",22/01/2018,balneario,396.04,118812.00,0.00
715.00,,revestimento,i move line,Juliano Marini,42380,balneario,0.00,18300.00,0.00
722.00,,revestimento,Torre Atlantica,Juliano Marini,28/11/2016,balneario,2020.00,0.00,474700.00
722.00,,revestimento,Torre Atlantica,Juliano Marini,28/11/2016,balneario,191.00,0.00,44885.00
722.00,,revestimento,Torre Atlantica,Juliano Marini,28/11/2016,balneario,1591.00,0.00,373885.00
722.00,,revestimento,Torre Atlantica,Juliano Marini,28/11/2016,balneario,1063.00,0.00,249805.00
603.00,,revestimento,Construtora Mestra,,21/08/2015,blumenau,180.00,54000.00,45900.00
647.00,,revestimento,Araruama Engenharia,,26/02/2016,blumenau,0.00,0.00,3050.00
667.00,,revestimento,tecnoponto,Juliano Marini,17/05/16,blumenau,405.63,113576.40,99784.98
731.00,,revestimento,Construtora Richter,Habibs,43070,blumenau,240.00,0.00,63600.00
796.00,,revestimento,Construtora Focus,Eng Renerio Neto,42805,blumenau,0.00,19046.26,15561.90
796.50,,revestimento,Copapel,Jonathan,42928,blumenau,0.00,0.00,15561.90
636.00,,revestimento,Supermercado Bruda,,42075,canoinhas,0.00,64087.00,59019.00
634.00,branco porcelana,revestimento,construtora richter,,42159,curitiba,1160.65,316439.00,0.00
719.20,,brises acm,Colégio Paranaense,,15/03/2016,curitiba,1708.00,527772.00,439810.00
719.30,madeira,brises acm,Colégio Paranaense,Wallace,21/03/2016,curitiba,662.00,0.00,186600.00
719.30,branca,brises acm,Colégio Paranaense,Wallace,21/03/2016,curitiba,1086.00,0.00,293220.00
719.30,cinza,revestimento,Colégio Paranaense,Wallace,21/03/2016,curitiba,346.00,0.00,93420.00
719.30,preto fosco,revestimento,Colégio Paranaense,Wallace,21/03/2016,curitiba,208.00,0.00,66690.00
719.30,cinza,brises acm,Colégio Paranaense,Wallace,21/03/2016,curitiba,247.00,0.00,66690.00
719.30,branca,revestimento,Colégio Paranaense,Wallace,21/03/2016,curitiba,432.10,0.00,116640.00
830.00,,revestimento,Copapel,jonathan,19/03/2018,curitiba,0.00,0.00,13670.00
599.00,,revestimento,MVF Construções,,42071,florianopolis,165.00,57750.00,40425
664.00,"azul,mogno",,kretzer móveis,,22/05/2016,florianopolis,0.00,9000.00,0.00
678.00,,revestimento,eng Juliana coelho,,14/06/2016,florianopolis,71.10,24885.00,0.00
771.00,,revestimento,Richter,,13/07/2017,florianopolis,2400.00,734350.00,0.00
624.00,branco,revestimento,,,14/10/2015,ibirama,0.00,27450.00,0.00
638.00,mogno,revestimento,construtora richter,eng Sumaya,42228,itajai,262.00,91700.00,0.00
757.00,,revestimento,Angar,Jean carlos,20/04/2017,itapocu,0.00,0.00,4687.00
607.20,branco,revestimento,,,16/09/2015,jaragua,0.00,15960.00,13800.00
613.00,,revestimento,Construtora hora certa,,24/9/2015,jaragua,0.00,18391.89,15455.84
621.20,,revestimento,,,18/11/2015,jaragua,0.00,19920.00,0
640.00,,revestimento,,Gabivel,42320,jaragua,0.00,0.00,6612.69
758.00,,revestimento,Registro de Imoveis ISA,,42771,jaragua,0.00,9860.00,8500.00
797.00,,revestimento,Despachante Lima,Décio,42897,jaragua,150.00,42000.00,0.00
797.00,,revestimento,Despachante Lima,Décio,42897,jaragua,150.00,0.00,37500.00
797.00,,revestimento,Despachante Lima,Décio,42897,jaragua,40.00,0.00,9600.00
602.00,,revestimento,grupo estrutura,,20/8/2015,joinville,0.00,18054.00,15045.00
608.00,"cinza,prata",revestimento,C.E equipamentos industriais,,42013,joinville,0.00,45000.00,38160.00
614.00,,revestimento,,,25/10/2015,joinville,0.00,5000.00,4580.00
615.00,,revestimento,,,28/10/2015,joinville,0.00,35898.50,0.00
616.00,"branco,madeira",revestimento,,,30/09/2015,joinville,0.00,4375.00,3750.00
618.00,mogno,revestimento,Exata adm de condominios,,42045,joinville,0.00,42217.69,0.00
619.00,"amarelo,azul",revestimento,lojas presidente,,42226,joinville,0.00,102480.00,86259.86
620.20,prata,revestimento,topcar,,42862,joinville,61.80,17922.00,0.00
620.20,branco,revestimento,topcar,,42862,joinville,358.57,103985.30,0.00
620.20,preto,revestimento,topcar,,42862,joinville,15.00,4350.00,0.00
620.20,prata,revestimento,topcar,,42862,joinville,98.55,28579.50,0.00
620.20,grafite,revestimento,topcar,,42862,joinville,691.47,200526.30,0.00
622.00,grafite,revestimento,perville eng,,13/10/2015,joinville,235.00,65100.00,0.00
623.00,,revestimento,,,27/10/2015,joinville,0.00,3750.00,0.00
627.30,amarelo,revestimento,Ability Construtora,,42016,joinville,23.74,0.00,5181.74
628.00,preto brilho,revestimento,,,16/11/2015,joinville,6.50,0.00,1621.00
639.00,,revestimento,Camilotti,,42289,joinville,667.50,206600.00,0.00
645.00,,revestimento,Raphael Canto,,42462,joinville,0.00,8780.00,7317.00
648.50,,revestimento,Hospital São Jose,,42618,joinville,0.00,23056.50,0.00
649.00,,revestimento,i move line,,42554,joinville,105.00,40405.44,30253.06
652.00,,revestimento,,,42677,joinville,0.00,0.00,1115.00
657.00,"preto fosco, grafite",revestimento,Bluforro,,42678,joinville,181.00,45250.00,38372.00
660.00,"preto,grafite",revestimento,Diego Jardel,,18/04/2016,joinville,202.50,50625.00,42930.00
662.00,,revestimento,Transportadora Salvan,,23/04/2016,joinville,792.60,214000.20,0.00
663.00,branca,revestimento,Camilotti,Cristiane,42465,joinville,0.00,9810.00,0.00
666.00,amarelo,revestimento,Dacoregio,,16/05/16,joinville,0.00,2272.00,2047.62
668.00,mogno,revestimento,Franklin Eletric,,42527,joinville,0.00,63107.28,46593.78
669.30,azul,revestimento,Transpotadora Salvan,Construtora Hora Certa,14/11/2016,joinville,224.80,67440.00,0.00
670.00,,revestimento,Copapel,carolina freitas,19/05/2016,joinville,0.00,53520.00,0.00
671.00,,,i move line,,27/06/2016,joinville,0.00,4275.00,3562.00
673.00,preto,revestimento,Solaris Films,Jeferson,42588,joinville,0.00,0.00,2906.00
