,cidade,m2Aprox,4mm,3mm,$4mm,$3mm
46,joinville,58.65292773208623,18054.0,15045.0,297.78289627976966,256.5089345364357
47,joinville,148.76674790670725,45000.0,38160.0,297.78289627976966,256.5089345364357
48,joinville,17.855128548551342,5000.0,4580.0,297.78289627976966,256.5089345364357
49,joinville,120.55259200069383,35898.5,30922.816929703615,297.78289627976966,256.5089345364357
50,joinville,14.619373811586797,4375.0,3750.0,297.78289627976966,256.5089345364357
51,joinville,141.77338768421444,42217.69,36366.140620498874,297.78289627976966,256.5089345364357
52,joinville,336.28403687337163,102480.0,86259.86,297.78289627976966,256.5089345364357
53,joinville,61.8,17922.0,15852.252154351723,297.78289627976966,256.5089345364357
54,joinville,358.57,103985.3,91976.40865672973,297.78289627976966,256.5089345364357
55,joinville,15.0,4350.0,3847.634018046535,297.78289627976966,256.5089345364357
56,joinville,98.55,28579.5,25278.955498565734,297.78289627976966,256.5089345364357
57,joinville,691.47,200526.3,177368.2329639092,297.78289627976966,256.5089345364357
58,joinville,235.0,65100.0,60279.59961606238,297.78289627976966,256.5089345364357
59,joinville,12.59306711986857,3750.0,3230.2342294633077,297.78289627976966,256.5089345364357
60,joinville,23.74,7069.365957681731,5181.74,297.78289627976966,256.5089345364357
61,joinville,6.5,1935.5888258185028,1621.0,297.78289627976966,256.5089345364357
62,joinville,667.5,206600.0,171219.7138030708,297.78289627976966,256.5089345364357
63,joinville,28.52532218116816,8780.0,7317.0,297.78289627976966,256.5089345364357
64,joinville,77.42721387979992,23056.5,19860.772136432202,297.78289627976966,256.5089345364357
65,joinville,105.0,40405.44,30253.06,297.78289627976966,256.5089345364357
66,joinville,4.346827146645142,1294.4107773555172,1115.0,297.78289627976966,256.5089345364357
67,joinville,181.0,45250.0,38372.0,297.78289627976966,256.5089345364357
68,joinville,202.5,50625.0,42930.0,297.78289627976966,256.5089345364357
69,joinville,792.6,214000.2,203308.9815135789,297.78289627976966,256.5089345364357
70,joinville,32.94346358557618,9810.0,8450.292744276014,297.78289627976966,256.5089345364357
71,joinville,7.982645921088362,2272.0,2047.62,297.78289627976966,256.5089345364357
72,joinville,181.64583656395646,63107.28,46593.78,297.78289627976966,256.5089345364357
73,joinville,224.8,67440.0,57663.208483790746,297.78289627976966,256.5089345364357
74,joinville,179.72825393476424,53520.0,46101.90292290033,297.78289627976966,256.5089345364357
75,joinville,13.886455871165913,4275.0,3562.0,297.78289627976966,256.5089345364357
76,joinville,11.329040079058997,3373.594366811779,2906.0,297.78289627976966,256.5089345364357
77,joinville,10.48618444757498,3122.606375722754,2689.8,297.78289627976966,256.5089345364357
78,joinville,85.63054553906774,27115.0,21965.0,297.78289627976966,256.5089345364357
79,joinville,32.18320646381767,9735.0,8255.28,297.78289627976966,256.5089345364357
80,joinville,143.77764293727307,42269.76,36880.25,297.78289627976966,256.5089345364357
81,joinville,154.40744811317307,52750.17,39606.89,297.78289627976966,256.5089345364357
82,joinville,224.8,60696.0,57663.208483790746,297.78289627976966,256.5089345364357
83,joinville,15.90739912188284,4736.951382792537,4080.39,297.78289627976966,256.5089345364357
84,joinville,1677.5,503250.0,419375.0,297.78289627976966,256.5089345364357
85,joinville,87.71624286952078,27000.0,22500.0,297.78289627976966,256.5089345364357
86,joinville,104.7020059887431,31485.0,26857.0,297.78289627976966,256.5089345364357
87,joinville,280.0,83379.2109583355,78400.0,297.78289627976966,256.5089345364357
88,joinville,80.97886178575068,24114.12,20771.801556636194,297.78289627976966,256.5089345364357
89,joinville,46.0,13698.013228869404,17020.0,297.78289627976966,256.5089345364357
90,joinville,70.0,20844.802739583876,25900.0,297.78289627976966,256.5089345364357
91,joinville,217.5,65250.0,56500.0,297.78289627976966,256.5089345364357
92,joinville,55.0,16500.0,14300.0,297.78289627976966,256.5089345364357
93,joinville,55.0,16378.059295387331,14300.0,297.78289627976966,256.5089345364357
94,joinville,22.5,6700.115166294818,5850.0,297.78289627976966,256.5089345364357
95,joinville,13.0,3871.1776516370055,3380.0,297.78289627976966,256.5089345364357
96,joinville,123.0,24780.0,20625.0,297.78289627976966,256.5089345364357
97,joinville,82.25,38932.0,34875.0,297.78289627976966,256.5089345364357
98,joinville,13.176928928843568,3923.8640605037203,3380.0,297.78289627976966,256.5089345364357
99,joinville,1511.75,489112.5,387777.3817854566,297.78289627976966,256.5089345364357
100,joinville,3.24,964.8165839464538,1026.0,297.78289627976966,256.5089345364357
101,joinville,24.4,7265.90266922638,5612.0,297.78289627976966,256.5089345364357
102,joinville,108.3,32145.0,27779.917610295983,297.78289627976966,256.5089345364357
103,joinville,977.5,291082.78111347486,260600.0,297.78289627976966,256.5089345364357
104,joinville,36.6,10898.85400383957,7897.0,297.78289627976966,256.5089345364357
105,joinville,150.0,45000.0,37500.0,297.78289627976966,256.5089345364357
106,joinville,35.04751215097742,10436.549675718476,8990.0,297.78289627976966,256.5089345364357
107,joinville,18.3,5449.427001919785,4575.0,297.78289627976966,256.5089345364357
108,joinville,122.0,36300.0,30500.0,297.78289627976966,256.5089345364357
109,joinville,115.0,34500.0,29498.527471690104,297.78289627976966,256.5089345364357
110,joinville,30.330327534438744,8500.0,7780.0,297.78289627976966,256.5089345364357
111,joinville,220.0,65800.0,56431.96559801585,297.78289627976966,256.5089345364357
112,joinville,220.0,59325.0,56431.96559801585,297.78289627976966,256.5089345364357
113,joinville,32.64993484587718,9722.592161751083,8375.0,297.78289627976966,256.5089345364357
114,joinville,116.95499049269438,34827.19580328745,30000.0,297.78289627976966,256.5089345364357
115,joinville,112.5,31500.0,28125.0,297.78289627976966,256.5089345364357
116,joinville,1370.0,431550.0,351417.2403149169,297.78289627976966,256.5089345364357
117,joinville,140.0,39048.8,35911.250835101,297.78289627976966,256.5089345364357
118,joinville,63.350619850209455,18864.731060114038,16250.0,297.78289627976966,256.5089345364357
119,joinville,46.88335718883809,13520.0,12026.0,297.78289627976966,256.5089345364357
120,joinville,9.730655208992173,2897.6226908335166,2496.0,297.78289627976966,256.5089345364357
121,joinville,30.60712101193812,9114.277141720328,7851.0,297.78289627976966,256.5089345364357
122,joinville,1370.0,431550.0,351417.2403149169,297.78289627976966,256.5089345364357
123,joinville,1370.0,431550.0,351417.2403149169,297.78289627976966,256.5089345364357
124,joinville,51.85004578509451,15440.056806124107,13300.0,297.78289627976966,256.5089345364357
125,joinville,20.66204832037601,6152.804591914118,5300.0,297.78289627976966,256.5089345364357
126,joinville,1370.0,409970.0,351417.2403149169,297.78289627976966,256.5089345364357
